phi_i theta_i phi_o theta_o brdf
75.0 -180.0 79.0 0.0 0.438
75.0 -180.0 80.0 0.0 0.448
75.0 -180.0 81.0 0.0 0.44
75.0 -180.0 82.0 0.0 0.406
75.0 -180.0 83.0 0.0 0.406
75.0 -180.0 84.0 0.0 0.383
75.0 -180.0 85.0 0.0 0.359
75.0 -180.0 86.0 0.0 0.316
75.0 -180.0 87.0 0.0 0.283
75.0 -180.0 88.0 0.0 0.253
75.0 -180.0 89.0 0.0 0.222
75.0 -180.0 90.0 0.0 0.197
