phi_i theta_i phi_o theta_o brdf
60.0 -180.0 31.0 0.0 0.000781
60.0 -180.0 32.0 0.0 0.000987
60.0 -180.0 33.0 0.0 0.00082
60.0 -180.0 34.0 0.0 0.000988
60.0 -180.0 35.0 0.0 0.00125
60.0 -180.0 36.0 0.0 0.00104
60.0 -180.0 37.0 0.0 0.00139
60.0 -180.0 38.0 0.0 0.00125
60.0 -180.0 39.0 0.0 0.00175
60.0 -180.0 40.0 0.0 0.00175
60.0 -180.0 41.0 0.0 0.00185
60.0 -180.0 42.0 0.0 0.00222
60.0 -180.0 43.0 0.0 0.00309
60.0 -180.0 44.0 0.0 0.00408
60.0 -180.0 45.0 0.0 0.00427
60.0 -180.0 46.0 0.0 0.00616
60.0 -180.0 47.0 0.0 0.0072
60.0 -180.0 48.0 0.0 0.00661
60.0 -180.0 49.0 0.0 0.00774
60.0 -180.0 50.0 0.0 0.0117
60.0 -180.0 51.0 0.0 0.012
60.0 -180.0 52.0 0.0 0.02
60.0 -180.0 53.0 0.0 0.0302
60.0 -180.0 54.0 0.0 0.0535
60.0 -180.0 55.0 0.0 0.33
60.0 -180.0 56.0 0.0 1.07
60.0 -180.0 57.0 0.0 1.59
60.0 -180.0 58.0 0.0 2.46
60.0 -180.0 59.0 0.0 3.47
60.0 -180.0 60.0 0.0 4.92
60.0 -180.0 61.0 0.0 8.6
60.0 -180.0 62.0 0.0 1040.0
60.0 -180.0 63.0 0.0 40.9
60.0 -180.0 64.0 0.0 5.11
60.0 -180.0 65.0 0.0 2.02
60.0 -180.0 66.0 0.0 0.936
60.0 -180.0 67.0 0.0 0.308
60.0 -180.0 68.0 0.0 0.16
60.0 -180.0 69.0 0.0 0.145
60.0 -180.0 70.0 0.0 0.13
60.0 -180.0 71.0 0.0 0.0783
60.0 -180.0 72.0 0.0 0.0878
60.0 -180.0 73.0 0.0 0.0425
60.0 -180.0 74.0 0.0 0.0
60.0 -180.0 75.0 0.0 0.0
60.0 -180.0 76.0 0.0 0.0
60.0 -180.0 77.0 0.0 0.0
60.0 -180.0 78.0 0.0 0.0
60.0 -180.0 90.0 0.0 0.0
75.0 -180.0 -90.0 0.0 0.0
75.0 -180.0 -77.0 0.0 0.0
75.0 -180.0 -76.0 0.0 0.0
75.0 -180.0 -75.0 0.0 0.0
75.0 -180.0 -74.0 0.0 0.0
75.0 -180.0 -73.0 0.0 0.0
75.0 -180.0 -72.0 0.0 0.00128
75.0 -180.0 -71.0 0.0 0.000609
75.0 -180.0 -70.0 0.0 0.000532
75.0 -180.0 -69.0 0.0 0.000406
75.0 -180.0 -68.0 0.0 0.0
75.0 -180.0 -67.0 0.0 0.0
75.0 -180.0 -66.0 0.0 0.0
75.0 -180.0 -65.0 0.0 0.0
75.0 -180.0 -64.0 0.0 0.0
75.0 -180.0 -63.0 0.0 0.0
75.0 -180.0 -62.0 0.0 0.0
75.0 -180.0 -61.0 0.0 0.0
75.0 -180.0 -60.0 0.0 0.0
75.0 -180.0 -59.0 0.0 0.0
75.0 -180.0 -58.0 0.0 0.0
75.0 -180.0 -57.0 0.0 0.0
75.0 -180.0 -56.0 0.0 0.0
75.0 -180.0 -55.0 0.0 0.0
75.0 -180.0 -54.0 0.0 0.0
75.0 -180.0 -53.0 0.0 0.0
75.0 -180.0 -52.0 0.0 0.0
75.0 -180.0 -51.0 0.0 0.0
75.0 -180.0 -50.0 0.0 0.0
75.0 -180.0 -49.0 0.0 0.0
75.0 -180.0 -48.0 0.0 0.000221
75.0 -180.0 -47.0 0.0 0.00019
75.0 -180.0 -46.0 0.0 0.000177
75.0 -180.0 -45.0 0.0 0.000185
75.0 -180.0 -44.0 0.0 0.000174
75.0 -180.0 -43.0 0.0 0.000164
75.0 -180.0 -42.0 0.0 0.00019
75.0 -180.0 -41.0 0.0 0.000186
75.0 -180.0 -40.0 0.0 0.000177
75.0 -180.0 -39.0 0.0 0.000155
75.0 -180.0 -38.0 0.0 0.000146
75.0 -180.0 -37.0 0.0 0.00014
75.0 -180.0 -36.0 0.0 0.000142
75.0 -180.0 -35.0 0.0 0.000146
75.0 -180.0 -34.0 0.0 0.000142
75.0 -180.0 -33.0 0.0 0.00015
75.0 -180.0 -32.0 0.0 0.000137
75.0 -180.0 -31.0 0.0 0.000152
75.0 -180.0 -30.0 0.0 0.000139
75.0 -180.0 -29.0 0.0 0.000149
75.0 -180.0 -28.0 0.0 0.000148
75.0 -180.0 -27.0 0.0 0.000147
75.0 -180.0 -26.0 0.0 0.000147
75.0 -180.0 -25.0 0.0 0.00014
75.0 -180.0 -24.0 0.0 0.00014
75.0 -180.0 -23.0 0.0 0.000142
75.0 -180.0 -22.0 0.0 0.000126
75.0 -180.0 -21.0 0.0 0.000123
75.0 -180.0 -20.0 0.0 0.000148
75.0 -180.0 -19.0 0.0 0.000128
75.0 -180.0 -18.0 0.0 0.000137
75.0 -180.0 -17.0 0.0 0.000134
75.0 -180.0 -16.0 0.0 0.000124
75.0 -180.0 -15.0 0.0 0.000124
75.0 -180.0 -14.0 0.0 0.00013
75.0 -180.0 -13.0 0.0 0.000113
75.0 -180.0 -12.0 0.0 0.000124
75.0 -180.0 -11.0 0.0 0.000135
75.0 -180.0 -10.0 0.0 0.000133
75.0 -180.0 -9.0 0.0 0.00013
75.0 -180.0 -8.0 0.0 0.000141
75.0 -180.0 -7.0 0.0 0.000141
75.0 -180.0 -6.0 0.0 0.000133
75.0 -180.0 -5.0 0.0 0.00014
75.0 -180.0 -4.0 0.0 0.00013
75.0 -180.0 -3.0 0.0 0.000125
75.0 -180.0 -2.0 0.0 0.000149
75.0 -180.0 -1.0 0.0 0.000149
75.0 -180.0 0.0 0.0 0.000138
75.0 -180.0 1.0 0.0 0.000123
75.0 -180.0 2.0 0.0 0.000127
75.0 -180.0 3.0 0.0 0.000144
75.0 -180.0 4.0 0.0 0.000156
75.0 -180.0 5.0 0.0 0.000165
75.0 -180.0 6.0 0.0 0.000157
75.0 -180.0 7.0 0.0 0.000127
75.0 -180.0 8.0 0.0 0.000119
75.0 -180.0 9.0 0.0 0.000125
75.0 -180.0 10.0 0.0 0.000117
75.0 -180.0 11.0 0.0 0.000126
75.0 -180.0 12.0 0.0 0.000134
75.0 -180.0 13.0 0.0 0.000136
75.0 -180.0 14.0 0.0 0.000132
75.0 -180.0 15.0 0.0 0.00014
75.0 -180.0 16.0 0.0 0.000145
75.0 -180.0 17.0 0.0 0.000174
75.0 -180.0 18.0 0.0 0.000225
75.0 -180.0 19.0 0.0 0.000237
75.0 -180.0 20.0 0.0 0.000216
75.0 -180.0 21.0 0.0 0.000237
75.0 -180.0 22.0 0.0 0.000201
75.0 -180.0 23.0 0.0 0.0002
75.0 -180.0 24.0 0.0 0.000264
75.0 -180.0 25.0 0.0 0.000256
75.0 -180.0 26.0 0.0 0.000225
75.0 -180.0 27.0 0.0 0.000261
75.0 -180.0 28.0 0.0 0.000283
75.0 -180.0 29.0 0.0 0.000266
75.0 -180.0 30.0 0.0 0.000323
75.0 -180.0 31.0 0.0 0.000442
75.0 -180.0 32.0 0.0 0.000343
75.0 -180.0 33.0 0.0 0.000389
75.0 -180.0 34.0 0.0 0.000417
75.0 -180.0 35.0 0.0 0.000446
75.0 -180.0 36.0 0.0 0.000654
75.0 -180.0 37.0 0.0 0.000415
75.0 -180.0 38.0 0.0 0.000419
75.0 -180.0 39.0 0.0 0.000391
75.0 -180.0 40.0 0.0 0.000502
75.0 -180.0 41.0 0.0 0.00053
75.0 -180.0 42.0 0.0 0.000822
75.0 -180.0 43.0 0.0 0.000658
75.0 -180.0 44.0 0.0 0.000781
75.0 -180.0 45.0 0.0 0.000787
75.0 -180.0 46.0 0.0 0.000781
75.0 -180.0 47.0 0.0 0.000987
75.0 -180.0 48.0 0.0 0.00082
75.0 -180.0 49.0 0.0 0.000988
75.0 -180.0 50.0 0.0 0.00125
75.0 -180.0 51.0 0.0 0.00104
75.0 -180.0 52.0 0.0 0.00139
75.0 -180.0 53.0 0.0 0.00125
75.0 -180.0 54.0 0.0 0.00175
75.0 -180.0 55.0 0.0 0.00175
75.0 -180.0 56.0 0.0 0.00185
75.0 -180.0 57.0 0.0 0.00222
75.0 -180.0 58.0 0.0 0.00309
75.0 -180.0 59.0 0.0 0.00408
75.0 -180.0 60.0 0.0 0.00427
75.0 -180.0 61.0 0.0 0.00616
75.0 -180.0 62.0 0.0 0.0072
75.0 -180.0 63.0 0.0 0.00661
75.0 -180.0 64.0 0.0 0.00774
75.0 -180.0 65.0 0.0 0.0117
75.0 -180.0 66.0 0.0 0.012
75.0 -180.0 67.0 0.0 0.02
75.0 -180.0 68.0 0.0 0.0302
75.0 -180.0 69.0 0.0 0.0535
75.0 -180.0 70.0 0.0 0.33
75.0 -180.0 71.0 0.0 1.07
75.0 -180.0 72.0 0.0 1.59
75.0 -180.0 73.0 0.0 2.46
75.0 -180.0 74.0 0.0 3.47
75.0 -180.0 75.0 0.0 4.92
75.0 -180.0 76.0 0.0 8.6
75.0 -180.0 77.0 0.0 1040.0
75.0 -180.0 78.0 0.0 40.9
75.0 -180.0 79.0 0.0 5.11
75.0 -180.0 80.0 0.0 2.02
75.0 -180.0 81.0 0.0 0.936
75.0 -180.0 82.0 0.0 0.308
75.0 -180.0 83.0 0.0 0.16
75.0 -180.0 84.0 0.0 0.145
75.0 -180.0 85.0 0.0 0.13
75.0 -180.0 86.0 0.0 0.0783
75.0 -180.0 87.0 0.0 0.0878
75.0 -180.0 88.0 0.0 0.0425
75.0 -180.0 89.0 0.0 0.0
75.0 -180.0 90.0 0.0 0.0
